LAC  ,CELLID   
54033,7512
54033,6992
54033,243
54033,37153
54033,37023
54033,8301
21276,11472
21276,11478
21276,7383
21276,27383
21529,19248
54033,17272
54033,15013
21276,11471
21276,11477
54033,17271
54033,16042
54033,15012
21747,39598
21747,36863
21747,831
21747,837
54033,8962
54033,16073
54033,6243
21276,27382
21276,7382
21529,36647
21529,36641
21529,10224
54033,16551
25353,2331
21276,14381
54033,17081
25344,347
25344,341
25344,36662
25344,36668
25344,16041
25344,16047
25344,18787
54033,17031
54033,201
54033,7371
54033,4161
54033,8303
21529,12262
21529,12263
54033,15053
21265,4142
54270,43282
25344,13042
25344,13048
54033,6422
21276,9592
54033,17532
54033,16041
25344,20872
25344,872
54033,6392
54033,203
54033,14783
21748,20113
21748,113
21751,113
54033,8533
25344,36791
21678,9582
21678,17668
21678,17665
21678,45752
21678,45751
21678,7133
21678,37139
54033,10762
54033,10282
54033,10743
21748,6331
21748,18527
21748,18533
21748,18539
54033,6991
54033,241
54033,242
54033,37151
54033,7493
21748,6332
21748,15247
54033,37021
25357,44277
21747,25243
21748,18528
54033,37152
25344,16042
25344,16048
25344,18788
25344,8091
25344,8099
54033,17032
54033,6411
21748,43017
25344,36792
21748,43018
21529,6451
21529,26451
21529,26453
21529,18281
21529,18287
21529,18289
54033,16552
54033,15171
54033,15173
54033,26863
54033,202
21265,4141
25344,46164
25344,8093
25344,37803
54033,6413
21748,15248
21748,15811
54033,8532
54033,8302
54033,14781
21265,44302
21265,44303
21678,7131
21678,37137
21678,45754
21678,45755
54033,10741
54033,12453
54033,12451
54033,12111
54033,12112
54033,11214
54033,12101
54033,12103
54033,12102
21747,11931
21747,11937
21529,6452
21529,6453
21529,793
54033,18931
54033,18932
54033,18933
54033,16121
54033,15172
54033,15443
21748,18532
21748,13077
21748,13071
21748,45792
54033,37022
54033,7492
54033,7491
54033,6563
21748,36853
21748,36859
54033,14782
54033,6803
21529,19259
21529,39657
54033,16462
54033,18712
21437,16642
21437,13887
21437,13881
21437,16611
54033,15001
21529,26452
21529,791
21529,16749
21529,18154
21529,18151
21529,18157
54033,15441
54033,26913
54033,16701
25344,43888
21529,19258
21529,799
21529,792
21529,798
54033,15442
21748,783
21748,20783
21748,37889
54033,6561
54033,7651
54033,6583
21529,19542
21529,16747
54033,15562
54033,16081
54033,26911
21747,46248
21747,11938
21747,11932
21747,8483
54033,18802
54033,16703
54033,15573
54033,15571
54033,15572
21747,43978
54033,15574
21748,112
21751,112
21748,20112
25344,19057
21748,16943
21748,30263
21748,30269
54033,6791
54033,9201
54033,37363
54033,7401
54033,7402
54033,6033
54033,6801
21748,46069
21748,10223
21748,36923
21748,36929
21748,45791
54033,7521
54033,6781
54033,7023
21747,8481
21748,13072
21748,36857
54033,6562
21748,10591
54033,6831
21747,34881
21747,34889
54033,16541
21747,10781
21747,34037
21747,34038
21748,781
21748,20781
21748,37887
21748,36927
21748,36921
21748,45984
21748,45083
54033,8262
54033,6982
54033,6581
54033,8613
54033,7021
21747,15183
21747,20263
21747,263
54033,16543
54033,17403
54033,15343
25344,37807
25344,19053
25344,25369
25344,25363
54033,6792
25344,19058
25344,19052
21748,20782
21748,782
21748,9233
21748,37239
21748,36699
54033,6582
54033,6921
54033,8201
54033,8202
54033,7033
54033,6662
54033,6661
21748,46067
54033,8283
54033,36861
54033,13241
21748,36698
21748,36692
21276,45441
21529,48131
21529,43151
54033,18892
21748,11357
21748,11351
21747,261
21747,20261
54033,17401
54033,15341
54033,8612
21748,16941
21748,24679
21748,30267
21748,6063
21748,39779
21748,45274
21748,45273
21748,45272
21748,45271
54033,37361
54033,8153
54033,6031
54033,11971
54033,8661
54033,8662
54033,8663
54033,15043
21748,16942
54033,37362
21748,24678
21748,45966
21748,36928
21748,36922
54033,7022
25356,10195
21529,16748
21529,10951
21529,16772
21529,16773
21529,45986
54033,26912
54033,17022
54033,26973
54033,16643
21529,18278
21529,18272
54033,26972
54033,16642
21747,8482
21747,19393
21747,19399
21747,19397
54033,16702
54033,17413
54033,16341
21678,17683
21678,17689
21678,481
54033,13591
54033,12542
54033,13912
54033,10811
54033,11831
54033,11551
21748,39778
54033,8152
21529,48138
21529,48147
21529,44449
21529,44443
54033,18893
54033,18882
54033,15523
54033,18903
21529,16037
21529,16031
54033,15321
21748,46068
21748,9231
21748,37237
21748,43301
54033,7031
54033,37533
21748,6062
21748,37888
21748,24677
21748,6061
21748,26061
21748,39777
54033,8151
54033,13242
54033,7611
54033,6881
54033,6882
21748,7023
21748,27023
21747,713
21747,20713
21748,16401
54270,15953
21748,24671
21748,16373
21748,16379
21748,36697
54033,7273
21437,292
21529,16911
54033,15041
54033,15042
54033,26681
21748,37238
21748,9232
21748,16353
21748,16359
54033,7032
54033,8282
21266,13162
21747,20262
21747,262
21748,43302
21747,711
54033,17402
54033,15342
54033,37531
25344,19531
25344,19537
25344,45303
25344,10132
54033,11742
54033,11741
54033,10471
25344,19538
25344,19532
54033,10472
25344,37831
25353,9331
54252,29702
21437,16651
21437,16652
54033,17441
54033,17442
25344,25362
25344,25368
25344,25631
54033,6401
54033,6403
54033,6811
25344,36147
25344,36145
54033,12611
54033,12612
21748,7021
21748,27021
21748,45082
54033,7321
54033,7531
54033,37532
21529,16778
21724,6433
21724,25253
21724,25259
21724,10511
21724,43959
54033,15753
54033,15313
21747,19392
21747,19398
21747,19869
54033,17412
54033,15893
21529,16912
21529,16918
21529,16917
54033,26683
